traits,cultivar,comparison,diff,lwr,upr,p adj
ssc,Melona,Mature-15 DAA,5.999999999999995,4.819020620978611,7.1809793790213785,1.0478309074413161e-5
ssc,Melona,Mature-30 DAA,5.333333333333331,4.152353954311948,6.514312712354714,2.1494168428004556e-5
ssc,GMP,30 DAA-15 DAA,2.0000000000000004,0.5536015623243384,3.4463984376756622,0.012825818449162196
ssc,GMP,Mature-15 DAA,4.333333333333334,2.8869348956576717,5.779731771008996,2.2978978927534754e-4
ssc,GMP,Mature-30 DAA,2.333333333333333,0.886934895657671,3.7797317710089953,0.006175074165369998
ssc,Tacapa,30 DAA-15 DAA,0.16666666666666785,-0.7669795101830457,1.1003128435163814,0.8513982314957331
ssc,Tacapa,Mature-15 DAA,3.500000000000001,2.5663538231502874,4.433646176849715,6.402946857120284e-5
ssc,Tacapa,Mature-30 DAA,3.333333333333333,2.3996871564836195,4.266979510183047,8.47862716910619e-5
ssc,Kinaya,30 DAA-15 DAA,5,3.5536015623243355,6.446398437675665,1.0200493646062014e-4
ssc,Kinaya,Mature-15 DAA,5.999999999999998,4.553601562324333,7.446398437675663,3.5542309523073357e-5
ssc,Kinaya,Mature-30 DAA,0.9999999999999982,-0.4463984376756662,2.4463984376756627,0.16545965171984
v_diameter,Melona,30 DAA-15 DAA,3.3000000000000007,1.1159862536228915,5.48401374637711,0.008470980097846748
v_diameter,Melona,Mature-15 DAA,5.2666666666666675,3.0826529202895583,7.450680413043777,7.651288130069434e-4
v_diameter,Melona,Mature-30 DAA,1.9666666666666668,-0.21734707971044243,4.150680413043776,0.0731477422864586
v_diameter,GMP,30 DAA-15 DAA,0.2333333333333334,-0.35715635617735897,0.8238230228440258,0.4890089622244086
v_diameter,GMP,Mature-15 DAA,0.36666666666666625,-0.2238230228440261,0.9571563561773586,0.21735766560380998
v_diameter,GMP,Mature-30 DAA,0.13333333333333286,-0.4571563561773595,0.7238230228440252,0.7762271256696125
v_diameter,Tacapa,30 DAA-15 DAA,0.6000000000000014,-0.17890939636653125,1.378909396366534,0.12149274897702511
v_diameter,Tacapa,Mature-15 DAA,3.0000000000000018,2.221090603633469,3.7789093963665343,5.475951071498564e-5
v_diameter,Tacapa,Mature-30 DAA,2.4000000000000004,1.6210906036334678,3.178909396366533,1.9615534159478365e-4
v_diameter,Kinaya,30 DAA-15 DAA,2.0666666666666647,-0.6121007272948495,4.745434060628179,0.1209270538107523
v_diameter,Kinaya,Mature-15 DAA,2.466666666666665,-0.2121007272948492,5.14543406062818,0.06762996690761536
v_diameter,Kinaya,Mature-30 DAA,0.40000000000000036,-2.278767393961514,3.0787673939615146,0.8927120759784094
v_perimeter,Melona,30 DAA-15 DAA,8.93333333333333,4.754601717544255,13.112064949122406,0.0014629015991752814
v_perimeter,Melona,Mature-15 DAA,13.799999999999997,9.621268384210921,17.978731615789073,1.32394134406022e-4
v_perimeter,Melona,Mature-30 DAA,4.866666666666667,0.6879350508775923,9.045398282455743,0.027246376941435835
v_perimeter,GMP,30 DAA-15 DAA,0.20000000000000284,-1.1568420054115807,1.5568420054115863,0.8952576072334559
v_perimeter,GMP,Mature-15 DAA,0.6000000000000014,-0.7568420054115821,1.956842005411585,0.4183759275913582
v_perimeter,GMP,Mature-30 DAA,0.3999999999999986,-0.9568420054115849,1.756842005411582,0.6574040269251327
v_perimeter,Tacapa,30 DAA-15 DAA,3.5333333333333456,-1.7895963342446475,8.856263000911339,0.18420706697026634
v_perimeter,Tacapa,Mature-15 DAA,12.800000000000004,7.477070332422011,18.122929667578,7.769318921474477e-4
v_perimeter,Tacapa,Mature-30 DAA,9.266666666666659,3.9437369990886655,14.589596334244652,0.004233218413944084
v_perimeter,Kinaya,30 DAA-15 DAA,9,3.600327741496767,14.399672258503234,0.005258518481366714
v_perimeter,Kinaya,Mature-15 DAA,9.833333333333329,4.433661074830096,15.233005591836562,0.0033710084146283403
v_perimeter,Kinaya,Mature-30 DAA,0.8333333333333286,-4.566338925169904,6.2330055918365614,0.8859695050366856
